class	lig_vol
Sterol	373.18
Sterol	295.85
Sterol	325.36
Sterol	296.6
Sterol	392.97
Sterol	289.22
Sterol	298.72
Sterol	333.56
Sterol	302.74
Sterol	330.36
Sterol	319.91
Sterol	852.41
Sterol	274.57
Sterol	310.04
Sterol	334.72
Sterol	314.78
Sterol	365.78
Sterol	343.66
Sterol	291.39
Sterol	242.7
Sterol	366.2
Sterol	359.3
Sterol	370
Sterol	383.38
Sterol	237.87
Sterol	261.01
Sterol	231.32
Sterol	364.44
Sterol	298.6
Sterol	208.22
Sterol	208.24
Sterol	371.88
Sterol	356.55
Sterol	242.45
Sterol	372.37
Sterol	323.85
Sterol	422.08
Sterol	454.76
Sterol	408.94
Sterol	292.98
Sterol	381.66
Sterol	331.52
Sterol	315.33
Sterol	321.85
Sterol	372.39
Sterol	320.41
Sterol	332.74
Sterol	310.59
Sterol	338.07
Sterol	345.41
Sterol	327.6
Sterol	361.4
Sterol	319.1
Sterol	336.16
Sterol	317.59
Sterol	379.31
Sterol	408.12
Sterol	403.84
Sterol	305.98
Sterol	902
Sterol	213.69
Sterol	408.59
Sterol	328.19
Sterol	283.64
Sterol	312.35
Sterol	354.08
Sterol	447.64
Sterol	314.1
Sterol	279.88
Sterol	594.49
Sterol	339.71
Sterol	553.93
Sterol	358.84
Sterol	369.21
Sterol	375.08
Sterol	287.96
Sterol	283.61
Sterol	332.64
Sterol	297.47
Sterol	331.71
Sterol	318.94
Sterol	259.11
Sterol	329.48
Sterol	400.38
Sterol	215.54
Sterol	316.16
Sterol	313
Sterol	300.97
Sterol	234.77
Sterol	341.5
Sterol	314.25
Sterol	366.15
Sterol	297.72
Sterol	295.27
Sterol	292.08
Sterol	314.58
Sterol	330.82
Sterol	405.84
Sterol	244.48
Sterol	333.45
Sterol	305.89
Sterol	320.37
Sterol	364.9
Sterol	297.83
Sterol	287.9
Sterol	325.26
Sterol	338.39
Sterol	287.18
Sterol	348.06
Sterol	354.98
Sterol	289.04
Sterol	328.51
Sterol	433.2
Sterol	280.61
Sterol	369.91
Sterol	290.01
Sterol	486.68
Sterol	285.45
Sterol	284.05
Sterol	336
Sterol	350.45
Sterol	404.8
Sterol	316.31
Sterol	319.63
Sterol	495.86
Sterol	325.93
Sterol	363.4
