class	hydrophobicity_score
Sterol	0.0
Sterol	72.83
Sterol	64.91
Sterol	36.48
Sterol	56.75
Sterol	63.15
Sterol	80.67
Sterol	61.18
Sterol	33.5
Sterol	16.8
Sterol	38.1
Sterol	90.33
Sterol	48.0
Sterol	28.0
Sterol	49.86
Sterol	20.83
Sterol	55.55
Sterol	55.75
Sterol	98.67
Sterol	25.55
Sterol	60.75
Sterol	20.83
Sterol	35.91
Sterol	58.75
Sterol	16.58
Sterol	28.0
Sterol	64.0
Sterol	16.75
Sterol	52.0
Sterol	98.67
Sterol	50.14
Sterol	53.3
Sterol	55.75
Sterol	44.57
Sterol	68.22
Sterol	34.33
Sterol	98.8
Sterol	48.67
Sterol	70.56
Sterol	67.19
Sterol	64.71
Sterol	57.17
Sterol	78.5
Sterol	50.0
Sterol	77.8
Sterol	48.62
Sterol	0.0
Sterol	52.57
Sterol	79.6
Sterol	31.67
Sterol	58.1
Sterol	65.17
Sterol	53.0
Sterol	34.4
Sterol	46.79
Sterol	60.36
Sterol	81.0
Sterol	35.09
Sterol	49.56
Sterol	85.67
Sterol	64.71
Sterol	66.07
Sterol	29.6
Sterol	36.27
Sterol	49.47
Sterol	67.19
Sterol	85.0
Sterol	39.0
Sterol	33.67
Sterol	0.0
Sterol	45.0
Sterol	47.27
Sterol	46.38
Sterol	51.29
Sterol	50.22
Sterol	90.75
Sterol	10.0
Sterol	38.87
Sterol	67.5
Sterol	65.09
Sterol	68.4
Sterol	55.75
Sterol	60.75
Sterol	24.23
Sterol	48.56
Sterol	35.09
Sterol	68.62
Sterol	34.56
Sterol	51.34
Sterol	68.75
Sterol	54.53
Sterol	63.15
Sterol	73.71
Sterol	65.55
Sterol	64.73
Sterol	71.71
Sterol	45.89
Sterol	44.14
Sterol	44.38
Sterol	53.03
Sterol	42.48
Sterol	43.88
Sterol	42.2
Sterol	73.57
Sterol	50.83
Sterol	64.27
Sterol	22.5
Sterol	48.0
Sterol	42.2
Sterol	28.0
Sterol	27.86
Sterol	58.67
Sterol	32.0
Sterol	31.75
Sterol	0.0
