class	GO_CC	hydrophobicity_score
Polyketide	filamentous actin [GO:0031941]	18.32
Polyketide	actin filament bundle [GO:0032432]	18.32
Polyketide	lamellipodium [GO:0030027]	18.32
Polyketide	striated muscle thin filament [GO:0005865]	18.32
Polyketide	cytoplasm [GO:0005737]	18.32
Polyketide	filopodium [GO:0030175]	18.32
Polyketide	postsynaptic density membrane [GO:0098839]	10.62
Polyketide	parallel fiber to Purkinje cell synapse [GO:0098688]	10.62
Polyketide	dendritic spine [GO:0043197]	10.62
Polyketide	synaptic vesicle [GO:0008021]	10.62
Polyketide	synaptic membrane [GO:0097060]	10.62
Polyketide	NMDA selective glutamate receptor complex [GO:0017146]	10.62
Polyketide	cell surface [GO:0009986]	10.62
Polyketide	plasma membrane [GO:0005886]	10.62
Polyketide	endoplasmic reticulum membrane [GO:0005789]	10.62
Polyketide	presynaptic active zone membrane [GO:0048787]	10.62
Polyketide	hippocampal mossy fiber to CA3 synapse [GO:0098686]	10.62
Polyketide	dendrite membrane [GO:0032590]	10.62
Polyketide	excitatory synapse [GO:0060076]	10.62
Polyketide	dendritic branch [GO:0044307]	10.62
Polyketide	postsynaptic membrane [GO:0045211]	10.62
Polyketide	membrane [GO:0016020]	10.62
Polyketide	presynaptic membrane [GO:0042734]	10.62
Polyketide	synaptic cleft [GO:0043083]	10.62
Polyketide	dendrite [GO:0030425]	10.62
Polyketide	cytoplasm [GO:0005737]	10.62
Polyketide	glutamatergic synapse [GO:0098978]	10.62
Polyketide	neuron projection [GO:0043005]	10.62
Polyketide	neuronal cell body [GO:0043025]	10.62
Polyketide	synaptic vesicle membrane [GO:0030672]	10.62
Polyketide	terminal bouton [GO:0043195]	10.62
Polyketide	synapse [GO:0045202]	10.62
Polyketide	postsynaptic density [GO:0014069]	10.62
Polyketide	endoplasmic reticulum [GO:0005783]	10.62
Polyketide	node of Ranvier [GO:0033268]	66.56
Polyketide	synapse [GO:0045202]	66.56
Polyketide	plasma membrane [GO:0005886]	66.56
Polyketide	axon initial segment [GO:0043194]	66.56
Polyketide	voltage-gated potassium channel complex [GO:0008076]	66.56
Polyketide	membrane [GO:0016020]	37.1
Polyketide	endoplasmic reticulum [GO:0005783]	37.1
Polyketide	endoplasmic reticulum membrane [GO:0005789]	37.1
Polyketide	maltose transport complex [GO:1990060]	0.0
Polyketide	outer membrane-bounded periplasmic space [GO:0030288]	0.0
Polyketide	cytoplasm [GO:0005737]	0.0
Polyketide	sarcoplasmic reticulum membrane [GO:0033017]	0.0
Polyketide	cytoplasmic side of membrane [GO:0098562]	0.0
Polyketide	cytosol [GO:0005829]	0.0
Polyketide	Z disc [GO:0030018]	0.0
Polyketide	sarcoplasmic reticulum [GO:0016529]	0.0
Polyketide	terminal cisterna [GO:0014802]	0.0
Polyketide	membrane [GO:0016020]	0.0
Polyketide	ATP-binding cassette (ABC) transporter complex [GO:0043190]	0.0
Polyketide	ryanodine receptor complex [GO:1990425]	0.0
Polyketide	periplasmic space [GO:0042597]	0.0
Polyketide	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]	0.0
Polyketide	cytoplasm [GO:0005737]	25.07
Polyketide	plasma membrane [GO:0005886]	58.33
Polyketide	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	58.33
Polyketide	host cell endoplasmic reticulum-Golgi intermediate compartment [GO:0044172]	15.94
Polyketide	host cell Golgi apparatus [GO:0044177]	15.94
Polyketide	host cell endosome [GO:0044174]	15.94
Polyketide	host cell endoplasmic reticulum [GO:0044165]	15.94
Polyketide	membrane [GO:0016020]	15.94
Polyketide	double membrane vesicle viral factory outer membrane [GO:0062243]	15.94
Polyketide	host cell perinuclear region of cytoplasm [GO:0044220]	15.94
Polyketide	protein-containing complex [GO:0032991]	67.19
Polyketide	cytosol [GO:0005829]	67.19
Polyketide	nucleoplasm [GO:0005654]	67.19
Polyketide	membrane [GO:0016020]	67.19
Polyketide	plasma membrane [GO:0005886]	67.19
Polyketide	euchromatin [GO:0000791]	67.19
Polyketide	chromatin [GO:0000785]	67.19
Polyketide	transcription regulator complex [GO:0005667]	67.19
Polyketide	nucleus [GO:0005634]	67.19
Polyketide	cytoplasm [GO:0005737]	67.19
Polyketide	Golgi apparatus [GO:0005794]	67.19
Polyketide	dendrite [GO:0030425]	56.74
Polyketide	protein-containing complex [GO:0032991]	56.74
Polyketide	perinuclear region of cytoplasm [GO:0048471]	56.74
Polyketide	cytosol [GO:0005829]	56.74
Polyketide	nucleoplasm [GO:0005654]	56.74
Polyketide	plasma membrane [GO:0005886]	56.74
Polyketide	actin cytoskeleton [GO:0015629]	56.74
Polyketide	RNA polymerase II transcription regulator complex [GO:0090575]	56.74
Polyketide	chromatin [GO:0000785]	56.74
Polyketide	transcription regulator complex [GO:0005667]	56.74
Polyketide	nucleus [GO:0005634]	56.74
Polyketide	cytoplasm [GO:0005737]	56.74
Polyketide	nucleolus [GO:0005730]	56.74
Polyketide	chloroplast stroma [GO:0009570]	26.3
Polyketide	endoplasmic reticulum [GO:0005783]	26.3
Polyketide	chloroplast [GO:0009507]	26.3
Polyketide	cytosol [GO:0005829]	26.3
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	26.3
Polyketide	plasma membrane [GO:0005886]	26.3
Polyketide	apoplast [GO:0048046]	26.3
Polyketide	plasmodesma [GO:0009506]	26.3
Polyketide	plant-type vacuole [GO:0000325]	26.3
Polyketide	proton-transporting V-type ATPase complex [GO:0033176]	66.11
Polyketide	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	66.11
Polyketide	Golgi membrane [GO:0000139]	66.11
Polyketide	membrane [GO:0016020]	66.11
Polyketide	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	66.11
Polyketide	fungal-type vacuole membrane [GO:0000329]	66.11
Polyketide	chromosome, centromeric region [GO:0000775]	0.0
Polyketide	meiotic cohesin complex [GO:0030893]	0.0
Polyketide	chromatin [GO:0000785]	0.0
Polyketide	nucleus [GO:0005634]	0.0
Polyketide	microtubule [GO:0005874]	13.43
Polyketide	cytoplasm [GO:0005737]	13.43
Polyketide	microtubule cytoskeleton [GO:0015630]	13.43
Polyketide	proton-transporting V-type ATPase complex [GO:0033176]	71.25
Polyketide	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	71.25
Polyketide	Golgi membrane [GO:0000139]	71.25
Polyketide	membrane [GO:0016020]	71.25
Polyketide	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	71.25
Polyketide	fungal-type vacuole membrane [GO:0000329]	71.25
Polyketide	fungal biofilm matrix [GO:0062040]	0.75
Polyketide	cytoplasm [GO:0005737]	0.75
Polyketide	extracellular region [GO:0005576]	0.75
Polyketide	protein-containing complex [GO:0032991]	59.95
Polyketide	endocytic vesicle membrane [GO:0030666]	59.95
Polyketide	cytosol [GO:0005829]	59.95
Polyketide	transcription repressor complex [GO:0017053]	59.95
Polyketide	nucleoplasm [GO:0005654]	59.95
Polyketide	plasma membrane [GO:0005886]	59.95
Polyketide	nucleus [GO:0005634]	59.95
Polyketide	cytoplasm [GO:0005737]	59.95
Polyketide	nucleolus [GO:0005730]	59.95
Polyketide	NuA4 histone acetyltransferase complex [GO:0035267]	6.45
Polyketide	actin filament [GO:0005884]	6.45
Polyketide	Swr1 complex [GO:0000812]	6.45
Polyketide	actin filament bundle [GO:0032432]	6.45
Polyketide	Ino80 complex [GO:0031011]	6.45
Polyketide	actin cortical patch [GO:0030479]	6.45
Polyketide	cellular bud neck contractile ring [GO:0000142]	6.45
Polyketide	chromatin [GO:0000785]	6.45
Polyketide	nucleus [GO:0005634]	6.45
Polyketide	nuclear envelope [GO:0005635]	32.94
Polyketide	perinuclear region of cytoplasm [GO:0048471]	32.94
Polyketide	cytosol [GO:0005829]	32.94
Polyketide	pericentriolar material [GO:0000242]	32.94
Polyketide	Golgi membrane [GO:0000139]	32.94
Polyketide	chromosome, telomeric region [GO:0000781]	32.94
Polyketide	nucleus [GO:0005634]	32.94
Polyketide	cytoplasm [GO:0005737]	32.94
Polyketide	melanosome [GO:0042470]	38.38
Polyketide	perinuclear region of cytoplasm [GO:0048471]	38.38
Polyketide	sarcoplasmic reticulum lumen [GO:0033018]	38.38
Polyketide	endoplasmic reticulum [GO:0005783]	38.38
Polyketide	cytoplasm [GO:0005737]	37.64
Polyketide	chromosome [GO:0005694]	50.0
Polyketide	condensed nuclear chromosome [GO:0000794]	50.0
Polyketide	nucleus [GO:0005634]	50.0
Polyketide	nucleoplasm [GO:0005654]	50.0
Polyketide	protein-containing complex [GO:0032991]	54.15
Polyketide	endocytic vesicle membrane [GO:0030666]	54.15
Polyketide	cytosol [GO:0005829]	54.15
Polyketide	transcription repressor complex [GO:0017053]	54.15
Polyketide	nucleoplasm [GO:0005654]	54.15
Polyketide	plasma membrane [GO:0005886]	54.15
Polyketide	nucleus [GO:0005634]	54.15
Polyketide	cytoplasm [GO:0005737]	54.15
Polyketide	nucleolus [GO:0005730]	54.15
Polyketide	nuclear chromosome [GO:0000228]	27.5
Polyketide	histone deacetylase complex [GO:0000118]	27.5
Polyketide	cytoplasm [GO:0005737]	27.5
Polyketide	nucleoplasm [GO:0005654]	27.5
Polyketide	nucleus [GO:0005634]	27.5
Polyketide	nucleus [GO:0005634]	53.5
Polyketide	protein-containing complex [GO:0032991]	56.76
Polyketide	cytosol [GO:0005829]	56.76
Polyketide	nucleoplasm [GO:0005654]	56.76
Polyketide	membrane [GO:0016020]	56.76
Polyketide	plasma membrane [GO:0005886]	56.76
Polyketide	euchromatin [GO:0000791]	56.76
Polyketide	chromatin [GO:0000785]	56.76
Polyketide	transcription regulator complex [GO:0005667]	56.76
Polyketide	nucleus [GO:0005634]	56.76
Polyketide	cytoplasm [GO:0005737]	56.76
Polyketide	Golgi apparatus [GO:0005794]	56.76
Polyketide	cell body [GO:0044297]	14.09
Polyketide	actin filament [GO:0005884]	14.09
Polyketide	skeletal muscle myofibril [GO:0098723]	14.09
Polyketide	stress fiber [GO:0001725]	14.09
Polyketide	filamentous actin [GO:0031941]	14.09
Polyketide	actin filament bundle [GO:0032432]	14.09
Polyketide	lamellipodium [GO:0030027]	14.09
Polyketide	striated muscle thin filament [GO:0005865]	14.09
Polyketide	cytoplasm [GO:0005737]	14.09
Polyketide	filopodium [GO:0030175]	14.09
Polyketide	protein-containing complex [GO:0032991]	53.04
Polyketide	cytosol [GO:0005829]	53.04
Polyketide	nucleoplasm [GO:0005654]	53.04
Polyketide	membrane [GO:0016020]	53.04
Polyketide	plasma membrane [GO:0005886]	53.04
Polyketide	euchromatin [GO:0000791]	53.04
Polyketide	chromatin [GO:0000785]	53.04
Polyketide	transcription regulator complex [GO:0005667]	53.04
Polyketide	nucleus [GO:0005634]	53.04
Polyketide	cytoplasm [GO:0005737]	53.04
Polyketide	Golgi apparatus [GO:0005794]	53.04
Polyketide	plasma membrane [GO:0005886]	75.6
Polyketide	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	75.6
Polyketide	extracellular exosome [GO:0070062]	48.79
Polyketide	cytosol [GO:0005829]	48.79
Polyketide	transporter complex [GO:1990351]	28.5
Polyketide	plasma membrane [GO:0005886]	28.5
Polyketide	membrane [GO:0016020]	28.5
Polyketide	ATP-binding cassette (ABC) transporter complex [GO:0043190]	28.5
Polyketide	cytoplasm [GO:0005737]	28.5
Polyketide	cytosol [GO:0005829]	34.92
Polyketide	mitochondrion [GO:0005739]	34.92
Polyketide	mitochondrial intermembrane space [GO:0005758]	34.92
Polyketide	mitochondrial matrix [GO:0005759]	34.92
Polyketide	nucleus [GO:0005634]	34.92
Polyketide	collagen-containing extracellular matrix [GO:0062023]	15.9
Polyketide	cytoplasmic stress granule [GO:0010494]	15.9
Polyketide	lysosome [GO:0005764]	15.9
Polyketide	azurophil granule lumen [GO:0035578]	15.9
Polyketide	cytosol [GO:0005829]	15.9
Polyketide	extracellular exosome [GO:0070062]	15.9
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	15.9
Polyketide	plasma membrane [GO:0005886]	15.9
Polyketide	membrane [GO:0016020]	15.9
Polyketide	extracellular region [GO:0005576]	15.9
