class	GO_CC	hydrophobicity_score
Prenol	photosystem II reaction center [GO:0009539]	68.33
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	68.33
Prenol	plasma membrane [GO:0005886]	47.5
Prenol	organelle inner membrane [GO:0019866]	47.5
Prenol	plasma membrane light-harvesting complex [GO:0030077]	47.5
Prenol	photosystem II [GO:0009523]	69.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	69.36
Prenol	photosystem II [GO:0009523]	69.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	69.36
Prenol	plasma membrane [GO:0005886]	0.0
Prenol	organelle inner membrane [GO:0019866]	0.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	0.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	44.67
Prenol	photosystem I [GO:0009522]	44.67
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	44.67
Prenol	plasma membrane-derived photosystem I [GO:0030094]	44.67
Prenol	photosystem II [GO:0009523]	77.25
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	77.25
Prenol	photosystem II [GO:0009523]	49.23
Prenol	chloroplast thylakoid membrane [GO:0009535]	49.23
Prenol	photosystem I [GO:0009522]	49.23
Prenol	photosystem II [GO:0009523]	49.23
Prenol	chloroplast thylakoid membrane [GO:0009535]	49.23
Prenol	photosystem I [GO:0009522]	49.23
Prenol	plasma membrane [GO:0005886]	0.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	0.0
Prenol	plasma membrane [GO:0005886]	0.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	0.0
Prenol	photosystem II [GO:0009523]	82.36
Prenol	thylakoid membrane [GO:0042651]	82.36
Prenol	chloroplast [GO:0009507]	82.36
Prenol	photosystem II [GO:0009523]	82.36
Prenol	thylakoid membrane [GO:0042651]	82.36
Prenol	chloroplast [GO:0009507]	82.36
Prenol	chloroplast thylakoid membrane [GO:0009535]	67.62
Prenol	photosystem I [GO:0009522]	67.62
Prenol	photosystem II [GO:0009523]	56.47
Prenol	chloroplast thylakoid membrane [GO:0009535]	56.47
Prenol	photosystem II [GO:0009523]	56.47
Prenol	chloroplast thylakoid membrane [GO:0009535]	56.47
Prenol	plasma membrane [GO:0005886]	56.0
Prenol	organelle inner membrane [GO:0019866]	56.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	56.0
Prenol	plasma membrane [GO:0005886]	65.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	39.17
Prenol	photosystem I [GO:0009522]	39.17
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	39.17
Prenol	photosystem I [GO:0009522]	39.17
Prenol	photosystem II [GO:0009523]	61.18
Prenol	chloroplast thylakoid membrane [GO:0009535]	61.18
Prenol	photosystem I [GO:0009522]	61.18
Prenol	photosystem II [GO:0009523]	61.18
Prenol	chloroplast thylakoid membrane [GO:0009535]	61.18
Prenol	photosystem I [GO:0009522]	61.18
Prenol	photosystem II [GO:0009523]	67.52
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	67.52
Prenol	photosystem II [GO:0009523]	67.52
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	67.52
Prenol	organelle inner membrane [GO:0019866]	41.5
Prenol	plasma membrane [GO:0005886]	41.5
Prenol	plasma membrane light-harvesting complex [GO:0030077]	41.5
Prenol	organelle inner membrane [GO:0019866]	41.5
Prenol	plasma membrane [GO:0005886]	41.5
Prenol	plasma membrane light-harvesting complex [GO:0030077]	41.5
Prenol	photosystem II [GO:0009523]	53.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	53.36
Prenol	photosystem II [GO:0009523]	53.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	53.36
Prenol	plasma membrane [GO:0005886]	69.79
Prenol	photosystem I [GO:0009522]	69.79
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	63.33
Prenol	plasma membrane-derived photosystem I [GO:0030094]	63.33
Prenol	plasma membrane [GO:0005886]	73.6
Prenol	organelle inner membrane [GO:0019866]	73.6
Prenol	plasma membrane light-harvesting complex [GO:0030077]	73.6
Prenol	photosystem II [GO:0009523]	55.04
Prenol	chloroplast thylakoid membrane [GO:0009535]	55.04
Prenol	photosystem II [GO:0009523]	55.04
Prenol	chloroplast thylakoid membrane [GO:0009535]	55.04
Prenol	extracellular space [GO:0005615]	62.44
Prenol	extracellular region [GO:0005576]	62.44
Prenol	extracellular exosome [GO:0070062]	62.44
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	77.23
