class	donor_angle
sterol	127.7
sterol	126.95
sterol	136.07
sterol	126.33
sterol	137.69
sterol	148.83
sterol	136.18
sterol	128.23
sterol	118.94
sterol	158.74
sterol	136.94
sterol	139.1
sterol	110.51
sterol	115.42
sterol	100.15
sterol	123.77
sterol	125.26
sterol	130.03
sterol	153.45
sterol	135.32
sterol	121.31
sterol	101.44
sterol	149.23
sterol	151.63
sterol	138.26
sterol	158.45
sterol	161.05
sterol	109.71
sterol	108.81
sterol	148.55
sterol	131.27
sterol	113.42
sterol	139.52
sterol	129.43
sterol	120.61
sterol	172.15
sterol	132.38
sterol	106.78
sterol	116.75
sterol	131.95
sterol	142.12
sterol	119.84
sterol	131.29
sterol	138.98
sterol	123.74
sterol	161.16
sterol	128.88
sterol	108.14
sterol	117.2
sterol	127.78
sterol	103.05
sterol	149.18
sterol	124.77
sterol	149.28
sterol	131.12
sterol	123.2
sterol	151.21
sterol	143.0
sterol	103.45
sterol	112.45
sterol	120.66
sterol	101.48
sterol	123.44
sterol	137.26
sterol	125.4
sterol	100.93
sterol	136.2
sterol	125.19
sterol	103.4
sterol	149.1
sterol	172.09
sterol	148.72
sterol	167.47
