class	GO_CC	as_max_dst
Fatty Acyl	collagen-containing extracellular matrix [GO:0062023]	0.92
Fatty Acyl	extracellular space [GO:0005615]	0.92
Fatty Acyl	protein-containing complex [GO:0032991]	0.92
Fatty Acyl	extracellular region [GO:0005576]	0.92
Fatty Acyl	cytosol [GO:0005829]	7.73
Fatty Acyl	cytoplasm [GO:0005737]	7.73
Fatty Acyl	nucleoplasm [GO:0005654]	7.73
Fatty Acyl	nucleus [GO:0005634]	7.73
Fatty Acyl	membrane [GO:0016020]	1.19
Fatty Acyl	cytoplasm [GO:0005737]	1.19
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	3.95
Fatty Acyl	respiratory chain complex IV [GO:0045277]	3.95
Fatty Acyl	plasma membrane [GO:0005886]	18.88
Fatty Acyl	ATP-binding cassette (ABC) transporter complex [GO:0043190]	18.88
Fatty Acyl	plasma membrane protein complex [GO:0098797]	18.88
Fatty Acyl	cilium [GO:0005929]	21.78
Fatty Acyl	plasma membrane [GO:0005886]	21.78
Fatty Acyl	amylin receptor complex 3 [GO:0150058]	21.78
Fatty Acyl	amylin receptor complex 2 [GO:0150057]	21.78
Fatty Acyl	amylin receptor complex 1 [GO:0150056]	21.78
Fatty Acyl	axon [GO:0030424]	21.78
Fatty Acyl	acrosomal vesicle [GO:0001669]	21.78
Fatty Acyl	apical plasma membrane [GO:0016324]	3.68
Fatty Acyl	astrocyte projection [GO:0097449]	3.68
Fatty Acyl	cell surface [GO:0009986]	3.68
Fatty Acyl	plasma membrane [GO:0005886]	3.68
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	3.68
Fatty Acyl	calyx of Held [GO:0044305]	3.68
Fatty Acyl	Schaffer collateral - CA1 synapse [GO:0098685]	3.68
Fatty Acyl	neuronal cell body [GO:0043025]	3.68
Fatty Acyl	axon [GO:0030424]	3.68
Fatty Acyl	axon terminus [GO:0043679]	3.68
Fatty Acyl	postsynapse [GO:0098794]	3.68
Fatty Acyl	endoplasmic reticulum [GO:0005783]	3.68
Fatty Acyl	extracellular exosome [GO:0070062]	16.98
Fatty Acyl	cytoplasm [GO:0005737]	16.98
Fatty Acyl	protein-containing complex [GO:0032991]	16.98
Fatty Acyl	blood microparticle [GO:0072562]	16.98
Fatty Acyl	Golgi apparatus [GO:0005794]	16.98
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	16.98
Fatty Acyl	extracellular region [GO:0005576]	16.98
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	16.98
Fatty Acyl	extracellular space [GO:0005615]	16.98
Fatty Acyl	nucleus [GO:0005634]	16.98
Fatty Acyl	endoplasmic reticulum [GO:0005783]	16.98
Fatty Acyl	plasma membrane [GO:0005886]	7.09
Fatty Acyl	extracellular space [GO:0005615]	-1.0
Fatty Acyl	cytosol [GO:0005829]	19.87
Fatty Acyl	fascia adherens [GO:0005916]	19.87
Fatty Acyl	contractile fiber [GO:0043292]	19.87
Fatty Acyl	Golgi membrane [GO:0000139]	19.87
Fatty Acyl	intercalated disc [GO:0014704]	19.87
Fatty Acyl	connexin complex [GO:0005922]	19.87
Fatty Acyl	focal adhesion [GO:0005925]	19.87
Fatty Acyl	Golgi-associated vesicle membrane [GO:0030660]	19.87
Fatty Acyl	apical plasma membrane [GO:0016324]	19.87
Fatty Acyl	plasma membrane [GO:0005886]	19.87
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	19.87
Fatty Acyl	membrane raft [GO:0045121]	19.87
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	19.87
Fatty Acyl	lateral plasma membrane [GO:0016328]	19.87
Fatty Acyl	tight junction [GO:0070160]	19.87
Fatty Acyl	cytoplasm [GO:0005737]	19.87
Fatty Acyl	Golgi apparatus [GO:0005794]	19.87
Fatty Acyl	mitochondrion [GO:0005739]	19.87
Fatty Acyl	cell junction [GO:0030054]	19.87
Fatty Acyl	gap junction [GO:0005921]	19.87
Fatty Acyl	intermediate filament [GO:0005882]	19.87
Fatty Acyl	cell-cell contact zone [GO:0044291]	19.87
Fatty Acyl	nucleoplasm [GO:0005654]	19.87
Fatty Acyl	nucleus [GO:0005634]	19.87
Fatty Acyl	membrane [GO:0016020]	6.06
Fatty Acyl	cytoplasmic vesicle [GO:0031410]	20.44
Fatty Acyl	extracellular region [GO:0005576]	20.44
Fatty Acyl	sigma factor antagonist complex [GO:1903865]	18.71
Fatty Acyl	plasma membrane [GO:0005886]	18.71
Fatty Acyl	outer membrane-bounded periplasmic space [GO:0030288]	18.71
Fatty Acyl	extracellular region [GO:0005576]	4.19
Fatty Acyl	cytosol [GO:0005829]	4.19
Fatty Acyl	plasma membrane [GO:0005886]	4.19
Fatty Acyl	focal adhesion [GO:0005925]	12.77
Fatty Acyl	extracellular region [GO:0005576]	12.77
Fatty Acyl	extracellular exosome [GO:0070062]	12.77
Fatty Acyl	centrosome [GO:0005813]	12.77
Fatty Acyl	cell surface [GO:0009986]	12.77
Fatty Acyl	perinuclear region of cytoplasm [GO:0048471]	12.77
