class	pi-stacking_angle
Polyketide	14.51
Polyketide	82.4
Polyketide	79.61
Polyketide	7.9
Polyketide	7.54
Polyketide	14.07
Polyketide	14.33
Polyketide	11.31
Polyketide	10.86
Polyketide	12.4
Polyketide	12.05
Polyketide	79.02
Polyketide	77.55
Polyketide	86.85
Polyketide	82.42
Polyketide	76.46
Polyketide	9.28
Polyketide	80.83
Polyketide	13.36
Polyketide	75.34
Polyketide	69.26
Polyketide	5.89
Polyketide	5.07
Polyketide	89.62
Polyketide	89.7
Polyketide	75.36
Polyketide	88.54
Polyketide	73.37
Polyketide	88.59
Polyketide	86.54
Polyketide	89.19
Polyketide	9.45
Polyketide	6.22
Polyketide	5.94
Polyketide	12.6
Polyketide	10.65
Polyketide	13.5
Polyketide	6.52
Polyketide	10.26
Polyketide	22.14
Polyketide	12.13
Polyketide	73.15
Polyketide	23.06
Polyketide	79.55
Polyketide	18.13
Polyketide	86.96
Polyketide	9.29
Polyketide	86.66
Polyketide	8.14
Polyketide	86.7
Polyketide	4.52
Polyketide	85.3
Polyketide	5.61
Polyketide	87.96
Polyketide	7.24
Polyketide	89.63
Polyketide	2.42
Polyketide	86.53
Polyketide	2.81
Polyketide	84.23
Polyketide	5.84
Polyketide	88.14
Polyketide	72.01
Polyketide	21.27
Polyketide	70.22
Polyketide	23.15
Polyketide	66.85
Polyketide	66.56
Polyketide	9.36
Polyketide	20.17
Polyketide	11.91
Polyketide	5.93
Polyketide	5.2
Polyketide	4.87
Polyketide	76.55
Polyketide	19.57
Polyketide	78.65
Polyketide	23.53
Polyketide	24.21
Polyketide	8.46
Polyketide	29.03
Polyketide	15.82
Polyketide	87.65
Polyketide	7.38
Polyketide	85.0
Polyketide	8.75
Polyketide	83.5
Polyketide	13.27
Polyketide	87.26
Polyketide	69.85
Polyketide	25.14
Polyketide	62.16
Polyketide	61.25
Polyketide	85.91
Prenol	16.3
Prenol	22.18
Prenol	67.78
Prenol	14.57
Prenol	15.26
Prenol	11.9
Prenol	26.47
Prenol	21.09
Prenol	13.03
Prenol	10.33
Prenol	8.54
Prenol	22.56
Prenol	64.34
Prenol	86.32
Prenol	82.33
Prenol	25.29
Prenol	61.9
Prenol	22.54
Prenol	27.63
Prenol	5.58
Prenol	22.54
Prenol	20.55
Prenol	9.43
Prenol	9.45
Prenol	20.92
Prenol	9.03
Prenol	5.31
Prenol	18.86
Prenol	26.69
Prenol	60.14
Prenol	18.52
Prenol	75.57
Prenol	5.52
Prenol	18.75
Prenol	6.71
Prenol	22.07
Prenol	19.44
Prenol	26.57
Prenol	67.67
Prenol	10.87
Prenol	16.55
Prenol	24.32
Prenol	72.56
Prenol	10.56
Prenol	8.29
Prenol	10.6
Prenol	8.27
Prenol	10.17
Prenol	8.46
Prenol	9.32
Prenol	19.89
Prenol	62.12
Prenol	10.74
Prenol	7.01
Prenol	64.59
Prenol	76.36
Prenol	18.93
Prenol	16.95
Prenol	17.62
Prenol	12.36
Prenol	12.15
Prenol	4.89
Prenol	4.95
Prenol	12.57
Prenol	12.39
Prenol	4.85
Prenol	67.45
Prenol	65.0
Prenol	9.92
Prenol	7.66
Prenol	77.14
Prenol	13.01
Prenol	10.31
Prenol	21.86
Prenol	14.34
Prenol	11.29
Prenol	25.89
Prenol	19.27
Prenol	12.99
Prenol	11.84
Prenol	20.66
Prenol	18.28
Prenol	16.57
Prenol	10.62
Prenol	13.18
Prenol	27.32
Prenol	18.27
Prenol	14.1
Prenol	65.97
Prenol	18.88
Prenol	10.84
Prenol	24.68
Prenol	9.46
Prenol	87.42
Prenol	15.9
Prenol	13.0
Prenol	80.5
Prenol	66.44
Prenol	64.72
Prenol	22.87
Prenol	76.36
Prenol	20.38
Prenol	17.11
Prenol	11.69
Prenol	12.85
Prenol	9.81
Prenol	7.03
Prenol	6.28
Prenol	6.28
Prenol	74.7
Prenol	85.69
Prenol	11.6
Prenol	11.98
Prenol	13.74
Prenol	10.31
Prenol	12.89
Prenol	88.44
Prenol	14.66
Prenol	14.42
Prenol	12.51
Prenol	12.23
Prenol	71.61
Prenol	11.51
Prenol	11.36
Prenol	14.01
Prenol	12.75
Prenol	6.85
Prenol	14.68
Prenol	10.61
Prenol	10.91
Prenol	16.97
Prenol	12.43
Prenol	12.22
Prenol	6.61
Prenol	9.04
Prenol	12.32
Prenol	13.34
Prenol	80.01
Prenol	66.63
Prenol	89.45
Prenol	13.86
Prenol	83.49
Prenol	13.59
Prenol	17.08
Prenol	24.68
Prenol	19.28
Prenol	9.88
Prenol	7.21
Prenol	18.45
Prenol	11.38
Prenol	10.87
Prenol	8.33
Prenol	9.73
Prenol	84.96
Prenol	89.16
Prenol	10.98
Prenol	5.23
Prenol	7.2
Prenol	7.13
Prenol	8.29
Prenol	8.33
Prenol	10.75
Prenol	10.09
Prenol	8.15
Prenol	8.93
Prenol	8.68
Prenol	7.27
Prenol	8.84
Prenol	9.72
Prenol	7.84
Prenol	10.19
Prenol	11.38
Prenol	8.7
Prenol	13.18
Prenol	8.34
Prenol	10.12
Prenol	13.6
Prenol	7.06
Prenol	12.64
Prenol	11.75
Prenol	9.03
Prenol	12.02
Prenol	9.79
Prenol	23.85
Prenol	73.85
Prenol	60.75
Prenol	17.87
Prenol	10.97
Prenol	12.36
Prenol	3.84
Prenol	13.04
Prenol	3.05
Prenol	6.84
Prenol	11.64
Prenol	63.31
Prenol	13.92
Prenol	7.59
Prenol	7.59
Prenol	8.31
Prenol	6.83
Prenol	6.83
Prenol	25.73
Prenol	16.65
Prenol	11.3
Prenol	16.56
Prenol	66.67
Prenol	67.55
Prenol	72.08
Prenol	10.45
Prenol	16.03
Prenol	89.23
Prenol	10.48
Prenol	11.02
Prenol	22.98
Prenol	7.22
Prenol	7.09
Prenol	10.55
Prenol	9.65
Prenol	12.56
Prenol	12.71
Prenol	13.84
Prenol	11.34
Prenol	3.5
Prenol	16.42
Prenol	2.51
Prenol	8.9
Prenol	13.11
Prenol	14.01
Prenol	13.04
Prenol	73.31
Prenol	14.72
Prenol	10.33
